Index,cityCode,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,pop2025,pop2030
890,21461,284,358,451,532,614,876,1340,1533,1718,1816,1912,2004,2101,2204,2385,2669,2955
891,21462,100,117,138,161,189,284,465,546,626,671,716,774,836,903,998,1126,1254
892,21463,277,351,446,512,568,660,779,937,1130,1287,1459,1457,1455,1455,1527,1701,1888
893,21467,37,49,66,88,117,148,184,266,389,481,588,729,904,1121,1354,1556,1731
894,21469,97,118,143,172,208,250,301,345,394,432,473,513,556,603,669,756,844
895,21471,36,48,64,90,126,180,258,324,402,460,523,619,732,865,1013,1159,1291
896,21472,371,424,485,552,627,783,1009,1126,1243,1333,1427,1491,1558,1630,1761,1972,2188
897,21473,45,58,75,85,93,101,109,115,120,172,253,275,300,326,363,412,462
898,21474,679,808,962,1184,1474,1736,2008,2229,2467,2544,2611,2688,2768,2853,3051,3401,3760
899,21475,275,313,355,384,408,436,468,486,503,498,491,495,499,504,533,598,668
900,206493,71,91,117,129,135,147,164,172,179,238,321,433,584,787,1004,1170,1305
901,21480,231,264,302,325,343,368,397,405,412,405,397,393,388,385,402,450,503
902,21482,85,112,146,192,246,313,410,541,685,784,868,960,1077,1216,1355,1474,1575
903,21484,52,57,63,70,86,109,158,240,314,368,404,437,474,514,559,608,653
904,21485,56,64,72,81,103,137,188,260,304,333,368,407,465,536,608,666,716
905,21488,12,16,23,32,49,77,119,182,237,267,309,363,420,483,545,598,643
906,21493,184,237,306,395,498,623,767,939,1090,1230,1382,1553,1714,1880,2054,2220,2364
907,21498,1,2,5,9,20,41,86,180,226,256,297,344,380,414,452,493,530
908,21495,16,23,33,47,62,82,104,132,156,182,217,261,314,377,439,484,522
909,21496,87,97,108,121,138,159,199,256,329,388,429,469,513,563,617,671,721
910,21499,7,12,22,38,67,118,239,508,753,905,1087,1317,1551,1807,2054,2239,2386
911,21501,51,60,70,82,102,131,175,239,297,365,429,496,529,550,581,627,674
912,21502,97,119,145,178,220,274,370,517,608,675,729,781,836,896,966,1045,1119
913,21504,29,36,45,56,73,97,135,191,238,267,294,325,344,359,382,413,445
914,205437,1,1,2,2,4,5,9,16,28,69,126,202,273,347,419,467,503
915,21508,173,225,293,381,489,625,892,1327,1680,1854,2073,2348,2661,3014,3362,3639,3863
916,21511,49,63,81,104,128,156,205,279,342,414,485,561,644,737,830,907,973
917,21513,56,64,74,85,104,131,172,231,271,288,314,346,374,402,435,473,510
918,205443,3,4,6,9,14,22,34,52,80,124,167,215,268,331,391,434,468
919,21514,82,96,111,129,168,227,330,492,644,752,843,938,1060,1204,1348,1467,1568
920,21515,92,106,121,138,159,182,222,276,327,397,465,537,617,709,800,875,938
921,21518,34,39,45,52,67,89,127,186,234,269,292,311,358,423,486,535,576
922,21519,19,24,32,41,53,66,91,129,161,188,218,252,287,325,365,400,432
923,21520,128,160,202,254,319,400,549,779,935,1030,1115,1203,1395,1661,1915,2094,2233
924,21522,235,277,327,386,466,567,715,915,1058,1165,1264,1369,1469,1572,1691,1822,1943
925,21523,1041,1396,1873,2511,3290,4273,5079,5839,6365,6687,7128,7652,8059,8432,8909,9481,9990
926,21524,50,60,73,88,107,129,165,216,263,313,363,417,471,530,591,645,694
927,21525,10,16,24,36,57,93,153,250,340,404,469,545,562,556,570,611,656
928,21526,41,46,51,57,71,93,133,196,244,278,308,341,377,417,460,502,540
929,21530,116,147,204,304,329,350,372,395,474,631,759,837,923,1019,1144,1310,1491
930,21536,145,168,205,261,322,397,489,603,736,889,1056,1236,1447,1694,1976,2276,2586
931,21527,45,50,57,64,83,109,142,185,227,265,304,345,391,443,507,584,667
932,23323,12,16,23,34,46,61,83,111,149,200,252,300,357,425,502,582,666
933,21529,579,719,1019,1614,2070,2620,3145,3607,4092,4598,5200,5327,5891,6643,7544,8602,9710
934,21531,23,30,41,59,78,102,133,174,210,237,270,309,354,405,466,538,615
935,23324,13,17,25,37,47,60,75,95,119,150,185,223,268,323,384,447,512
936,21532,41,50,69,109,134,164,201,245,272,279,308,364,429,507,595,689,788
937,21528,30,37,53,88,130,191,279,408,536,644,757,874,1009,1166,1348,1552,1766
938,21533,46,56,68,82,109,146,195,260,307,328,376,460,563,688,826,960,1096
939,21534,84,124,160,183,219,264,319,384,435,466,504,548,597,650,724,828,945
940,21535,19,24,31,41,58,81,113,157,191,206,232,269,313,364,424,491,561
941,21537,98,92,103,134,162,195,235,284,351,445,542,639,754,889,1042,1205,1373
942,21538,27,35,45,59,83,116,163,228,283,318,365,425,495,577,672,777,887
943,21539,11,15,21,28,43,66,102,158,192,192,212,255,307,370,440,511,585
944,21540,37,45,59,85,118,163,226,314,402,483,580,696,836,1004,1191,1379,1571
945,21542,626,647,661,723,771,833,903,920,916,946,989,1037,1100,1169,1260,1364,1467
946,21545,28,53,99,147,200,248,279,316,361,413,469,513,554,594,637,684,733
947,21546,204,228,255,286,321,379,460,555,660,784,905,996,1047,1097,1154,1230,1314
948,21547,121,144,164,212,282,343,395,455,527,609,664,719,778,839,900,965,1033
949,21549,418,556,738,882,1029,1216,1448,1724,2053,2445,2739,3024,3311,3608,3886,4137,4382
950,21552,438,462,484,511,542,570,597,607,611,609,605,608,614,618,624,635,648
951,205163,271,277,281,283,284,290,299,308,317,324,330,333,336,339,342,350,359
952,21553,444,464,485,517,555,584,612,631,648,672,699,740,789,840,877,897,914
953,21554,570,608,656,700,743,757,759,749,734,728,724,740,762,784,802,817,832
954,21556,264,280,299,322,349,366,379,385,389,396,405,422,443,463,479,491,503
955,205160,333,364,402,444,489,515,533,540,544,552,563,582,606,630,649,663,677
956,21557,231,260,295,327,360,389,416,434,448,455,460,464,469,473,478,487,499
957,205162,263,274,286,296,306,322,341,357,371,382,393,403,411,420,428,437,448
958,21558,365,397,435,467,498,524,548,557,560,564,568,573,578,582,587,598,611
959,205161,258,275,294,321,352,372,387,393,397,402,407,422,442,461,477,489,500
960,21562,565,595,631,674,721,742,752,743,727,705,683,684,693,701,709,721,735
961,21565,785,823,871,900,921,909,886,847,805,767,732,715,704,692,687,696,710
962,21567,142,157,174,198,227,250,272,292,313,326,337,360,388,418,441,454,465
963,21571,1883,2099,2395,2695,3017,3133,3168,3128,3063,3020,2985,3010,3056,3099,3124,3142,3162
964,21572,207,218,232,248,265,277,286,289,290,296,303,315,328,342,353,363,373
965,21574,1498,1617,1758,1880,2000,2096,2186,2209,2208,2218,2232,2227,2216,2202,2193,2205,2226
966,205165,185,194,202,209,215,227,244,260,276,286,294,302,310,318,325,333,342
967,21576,417,429,441,468,504,527,546,554,557,566,578,600,628,655,677,692,706
968,21577,594,638,690,723,751,783,818,834,844,850,855,856,855,853,855,867,882
969,21578,240,245,252,260,270,276,280,279,277,276,277,287,300,314,326,335,344
970,21580,208,220,232,250,272,290,307,316,322,327,330,340,353,365,375,385,395
971,21586,213,216,218,226,237,246,254,259,263,272,283,301,322,344,361,372,382
972,21588,1884,2143,2456,2780,3135,3300,3390,3429,3450,3425,3385,3465,3592,3718,3796,3823,3842
973,21589,239,260,283,306,329,346,361,373,384,390,395,401,408,414,420,429,440
974,205188,260,288,324,364,409,435,453,465,475,487,501,526,556,588,612,627,640
975,21592,315,337,357,377,399,422,447,457,462,459,454,455,457,459,462,471,483
976,21597,1011,1149,1348,1547,1760,1838,1860,1827,1775,1733,1694,1706,1737,1765,1785,1804,1825
977,205164,213,216,219,230,244,256,267,273,278,286,296,312,332,353,369,380,390
978,21599,515,537,556,580,606,621,631,627,617,609,602,608,618,628,637,649,662
979,21600,353,374,399,429,462,482,497,505,510,522,537,558,582,606,624,638,652
980,21601,183,190,198,212,230,242,252,258,262,269,277,288,301,313,324,333,342
981,21607,278,343,421,448,476,496,516,539,562,571,578,581,584,588,605,634,664
982,21611,103,117,153,180,213,250,298,312,314,323,329,327,320,313,309,315,320
983,204583,2237,3100,4297,5954,6603,7318,7777,8023,8407,8748,8740,8914,9165,9406,9491,9456,9304
984,204585,503,647,833,1072,1379,1774,1825,1917,1986,2040,2044,2063,2119,2173,2203,2221,2213
985,21626,177,212,230,265,304,351,416,452,466,478,484,488,490,490,491,500,506
986,21627,180,199,224,237,250,272,316,334,346,368,370,367,377,387,395,405,410
987,206459,7005,8623,10615,13065,15272,16298,17028,17583,18389,18940,18660,18762,19492,20238,20523,20348,19976
988,204586,1403,1939,2681,3705,4072,4609,4726,4961,5269,5450,5421,5582,5556,5510,5447,5426,5355
989,21633,195,242,274,307,345,378,423,469,495,528,547,556,578,601,617,630,636
990,21640,117,131,148,166,189,235,295,325,367,394,408,418,428,437,444,453,459
991,21647,163,206,258,284,313,335,345,339,368,364,353,341,328,316,309,314,319
992,21649,76,104,212,231,252,275,290,297,301,300,297,307,315,321,326,334,340
993,21651,159,189,264,286,311,381,471,501,530,552,560,578,583,586,589,599,605
994,21655,82,93,105,118,134,173,225,257,290,308,315,318,326,334,340,349,354
995,21656,124,138,154,183,217,246,305,332,381,412,431,454,478,502,519,532,538
996,204581,754,892,1056,1250,1479,1751,1996,2157,2319,2476,2508,2601,2591,2571,2549,2556,2542
997,204582,538,666,824,1021,1264,1566,1731,1855,2021,2135,2184,2284,2192,2091,2022,2019,2012
998,206156,380,451,534,633,726,807,895,939,1003,1039,1217,2162,2730,3369,3846,3966,3934
999,21671,11275,13713,16679,20284,23298,26615,28549,30304,32530,33587,34450,35622,36834,38001,38323,37876,37190
1000,21675,114,123,133,157,186,222,256,286,323,337,348,376,384,391,397,406,411
1001,21700,90,140,218,299,388,500,636,736,851,974,1017,1062,1109,1155,1162,1251,1355
1002,21702,2,3,5,9,17,30,52,73,102,141,183,237,306,395,457,510,557
1003,21701,20,28,41,56,73,92,116,141,171,211,231,254,279,306,319,349,381
1004,21704,25,45,81,112,140,177,221,268,321,353,375,399,424,449,458,497,542
1005,21681,72,86,102,125,152,173,198,229,253,253,264,308,360,416,453,481,508
1006,21682,354,435,529,626,740,860,973,1030,1080,1109,1160,1275,1401,1523,1585,1654,1730
1007,21679,62,83,110,143,182,208,235,258,283,309,371,538,643,759,835,886,932
1008,21687,267,337,412,467,525,549,558,528,496,461,435,438,468,496,509,533,562
1009,21691,55,73,99,138,191,235,280,308,325,311,297,295,326,356,373,393,416
1010,21694,134,147,165,199,238,256,277,300,310,286,269,277,308,338,355,374,396
1011,21695,113,135,164,203,250,288,327,357,386,408,445,530,633,746,821,870,916
1012,21684,89,102,121,152,190,230,269,289,308,320,330,326,319,309,300,311,329
1013,21699,64,105,159,193,232,256,281,306,322,316,306,297,306,312,313,327,346
1014,21705,9,13,17,19,20,33,54,80,116,141,173,213,261,321,397,489,598
1015,21708,94,123,160,205,254,298,350,407,476,572,683,802,940,1104,1326,1619,1973
1016,21711,137,201,293,404,531,677,862,1090,1380,1755,2214,2677,3237,3915,4792,5870,7140
1017,21712,20,26,34,42,50,70,97,129,168,194,224,256,293,335,396,482,589
1018,21769,63,106,179,303,553,688,891,1122,1392,1095,1300,1551,2102,2779,3202,3571,3915
1019,21770,150,186,236,322,433,485,538,583,635,703,766,798,830,865,929,1043,1173
1020,21772,30,48,76,121,157,187,211,239,283,337,442,580,761,997,1271,1540,1782
1021,21778,490,541,597,659,728,786,840,880,905,825,762,712,665,621,580,542,506
1022,21773,322,425,561,733,923,1500,1623,1585,1293,1268,1487,1777,1990,2226,2252,2347,2437
1023,21779,35,40,75,121,164,226,325,514,1042,464,836,1202,1056,1264,1486,1742,2032
1024,21780,53,74,104,148,220,306,376,450,474,500,553,612,678,746,808,875,937
1025,21781,16,21,29,41,73,106,115,128,169,223,295,389,513,672,816,906,971
1026,21782,106,136,174,235,398,580,662,756,862,984,1022,1058,1095,1126,1167,1249,1333
1027,21789,222,230,250,303,367,430,494,541,573,558,544,535,526,517,508,500,491
1028,21792,177,189,252,298,363,454,580,742,948,1169,1361,1561,2021,2610,3306,4131,5073
1029,21796,34,40,47,50,57,78,91,107,125,147,173,201,246,327,422,531,654
1030,21798,14,27,50,95,140,191,246,304,370,446,529,609,701,808,957,1181,1473
1031,21799,4,6,11,17,34,71,124,187,266,362,476,590,731,905,1124,1402,1748
1032,21803,92,115,147,191,247,270,295,363,447,497,537,597,664,737,817,909,998
1033,21804,47,66,86,108,136,183,247,321,417,516,630,713,807,912,1022,1139,1249
1034,21806,26,34,47,65,90,124,171,197,227,242,252,273,297,322,352,392,433
1035,21807,15,20,25,32,41,67,109,130,154,213,307,356,413,478,545,611,673
1036,206411,262,300,344,394,451,661,971,1427,2098,2975,4176,4927,5810,6837,7844,8703,9423
1037,21809,20,26,39,62,99,134,181,201,223,240,255,284,315,349,387,432,476
1038,21810,41,50,61,74,90,109,132,160,194,236,289,332,383,440,500,560,617
1039,206412,74,94,120,152,193,211,229,250,273,334,422,464,510,560,617,686,755
1040,206413,29,37,48,63,81,95,111,129,151,201,277,299,323,349,381,424,467
1041,21813,49,58,68,81,95,113,133,157,186,231,291,329,373,422,474,530,585
1042,21818,89,111,130,158,222,363,489,608,746,910,1142,1486,1933,2515,3270,4175,5231
1043,21821,3,4,5,14,38,103,192,304,419,481,553,668,810,968,1091,1252,1432
1044,21823,28,37,50,96,178,232,304,451,658,724,794,828,864,900,944,1008,1075
1045,21824,94,109,127,153,185,233,295,405,553,651,763,844,934,1031,1123,1208,1287
1046,21826,0,0,0,0,0,2,34,82,192,292,438,546,680,845,993,1088,1161
