ID,STATUT,cityCode,INSEE_ARR,INSEE_DEP,INSEE_REG,CODE_EPCI,NOM_COM_M,POPULATION,TYPE,cityName,latitude,longitude,radius
COMMUNE__FRC000009754081,Commune simple,19056,2,19,75,241927201,CLERGOUX,412,COM,Clergoux,1.957007,45.276175,
COMMUNE__FRC000009754294,Commune simple,19096,2,19,75,241927201,LADIGNAC SUR RONDELLES,406,COM,Ladignac-sur-Rondelles,1.825306,45.230127,
COMMUNE__FRC000009754094,Commune simple,19188,1,19,75,200043172,SAINT BONNET L ENFANTIER,400,COM,Saint-Bonnet-l'Enfantier,1.526492,45.299986,
COMMUNE__FRC000009752608,Commune simple,19002,3,19,75,200066744,AIX,392,COM,Aix,2.392413,45.613481,
COMMUNE__FRC000009754100,Commune simple,19187,1,19,75,200043172,SAINT BONNET LA RIVIERE,387,COM,Saint-Bonnet-la-Rivière,1.359928,45.293696,
COMMUNE__FRC000009754309,Commune simple,19195,1,19,75,200043172,SAINT CYPRIEN,384,COM,Saint-Cyprien,1.355395,45.251141,
COMMUNE__FRC000009754078,Commune simple,19106,3,19,75,241900133,LAPLEAU,381,COM,Lapleau,2.159196,45.297414,
COMMUNE__FRC000009754934,Commune simple,19150,1,19,75,200066769,NOAILHAC,378,COM,Noailhac,1.617317,45.083067,
COMMUNE__FRC000009754290,Commune simple,19075,2,19,75,241927201,ESPAGNAC,377,COM,Espagnac,1.899124,45.241138,
COMMUNE__FRC000009754305,Commune simple,19279,1,19,75,200043172,VARS SUR ROSEIX,374,COM,Vars-sur-Roseix,1.371442,45.260465,
COMMUNE__FRC000009754942,Commune simple,19047,1,19,75,200043172,CHARTRIER FERRIERE,369,COM,Chartrier-Ferrière,1.434571,45.058178,
COMMUNE__FRC000009753631,Commune simple,19025,1,19,75,200066603,BEYSSENAC,368,COM,Beyssenac,1.302109,45.402214,
COMMUNE__FRC000009754516,Commune simple,19048,2,19,75,241927201,CHASTANG,365,COM,Le Chastang,1.733614,45.174594,
COMMUNE__FRC000009753615,Commune simple,19070,3,19,75,241900133,DARNETS,361,COM,Darnets,2.113392,45.423804,
COMMUNE__FRC000009753147,Commune simple,19001,2,19,75,200066645,AFFIEUX,359,COM,Affieux,1.767749,45.507963,
COMMUNE__FRC000009753381,Commune simple,19135,3,19,75,200066744,MESTES,355,COM,Mestes,2.317403,45.493214,
COMMUNE__FRC000009753835,Commune simple,19256,3,19,75,200066744,SERANDON,349,COM,Sérandon,2.324696,45.350802,
COMMUNE__FRC000009753384,Commune simple,19058,3,19,75,200066744,COMBRESSOL,346,COM,Combressol,2.164647,45.469116,
COMMUNE__FRC000009753388,Commune simple,19249,3,19,75,241900133,SAINT YRIEIX LE DEJALAT,344,COM,Saint-Yrieix-le-Déjalat,1.970271,45.455255,
COMMUNE__FRC000009754506,Commune simple,19222,2,19,75,200066751,SAINT MARTIN LA MEANNE,340,COM,Saint-Martin-la-Méanne,1.994787,45.171295,
COMMUNE__FRC000009752615,Commune simple,19265,2,19,75,200066645,TARNAC,339,COM,Tarnac,1.955804,45.67319,
COMMUNE__FRC000009755115,Commune simple,19086,2,19,75,200066751,GOULLES,332,COM,Goulles,2.093562,45.019113,
COMMUNE__FRC000009753852,Commune simple,19154,2,19,75,241927243,ORGNAC SUR VEZERE,313,COM,Orgnac-sur-Vézère,1.461532,45.340552,
COMMUNE__FRC000009754710,Commune simple,19091,2,19,75,200066751,HAUTEFAGE,313,COM,Hautefage,1.992929,45.091653,
COMMUNE__FRC000009753846,Commune simple,19016,2,19,75,241927201,BAR,308,COM,Bar,1.815378,45.342924,
COMMUNE__FRC000009753378,Commune simple,19128,3,19,75,200066744,MARGERIDES,305,COM,Margerides,2.415522,45.455839,
COMMUNE__FRC000009754308,Commune simple,19239,1,19,75,200043172,SAINT ROBERT,301,COM,Saint-Robert,1.295638,45.25404,
COMMUNE__FRC000009753385,Commune simple,19263,3,19,75,241900133,SOUDEILLES,301,COM,Soudeilles,2.063274,45.445254,
COMMUNE__FRC000009753621,Commune simple,19240,2,19,75,241927201,SAINT SALVADOUR,300,COM,Saint-Salvadour,1.766337,45.391349,
COMMUNE__FRC000009754498,Commune simple,19173,2,19,75,200066751,RILHAC XAINTRIE,300,COM,Rilhac-Xaintrie,2.190112,45.171788,
COMMUNE__FRC000009754936,Commune simple,19115,1,19,75,200066769,LIGNEYRAC,299,COM,Ligneyrac,1.618368,45.0497,
COMMUNE__FRC000009753838,Commune simple,19102,3,19,75,200066744,LAMAZIERE BASSE,299,COM,Lamazière-Basse,2.171205,45.372828,
COMMUNE__FRC000009752605,Commune simple,19141,3,19,75,200066744,MONESTIER MERLINES,299,COM,Monestier-Merlines,2.489701,45.650389,
COMMUNE__FRC000009752886,Commune simple,19233,3,19,75,200066744,SAINT PARDOUX LE VIEUX,297,COM,Saint-Pardoux-le-Vieux,2.27099,45.602481,
COMMUNE__FRC000009753382,Commune simple,19055,3,19,75,200066744,CHIRAC BELLEVUE,294,COM,Chirac-Bellevue,2.307514,45.4524,
COMMUNE__FRC000009753132,Commune simple,19204,3,19,75,200066744,SAINT FREJOUX,291,COM,Saint-Fréjoux,2.378365,45.556289,
COMMUNE__FRC000009754930,Commune simple,19163,1,19,75,200066769,PESCHER,288,COM,Le Pescher,1.759853,45.083084,
COMMUNE__FRC000009755126,Commune simple,19169,1,19,75,200066769,PUY D ARNAC,288,COM,Puy-d'Arnac,1.771646,45.025283,
COMMUNE__FRC000009754511,Commune simple,19084,2,19,75,200066751,FORGES,286,COM,Forgès,1.86459,45.159142,
COMMUNE__FRC000009752357,Commune simple,19241,3,19,75,200066744,SAINT SETIERS,285,COM,Saint-Setiers,2.11788,45.696818,
COMMUNE__FRC000009753845,Commune simple,19155,2,19,75,241927201,ORLIAC DE BAR,283,COM,Orliac-de-Bar,1.804996,45.374825,
COMMUNE__FRC000009755129,Commune simple,19029,1,19,75,200066769,BRANCEILLES,279,COM,Branceilles,1.708461,45.008237,
COMMUNE__FRC000009753618,Commune simple,19251,3,19,75,241900133,SARRAN,275,COM,Sarran,1.931239,45.41193,
COMMUNE__FRC000009753397,Commune simple,19223,1,19,75,200066603,SAINT MARTIN SEPERT,274,COM,Saint-Martin-Sepert,1.481531,45.443478,
COMMUNE__FRC000009754716,Commune simple,19257,1,19,75,200066769,SERILHAC,268,COM,Sérilhac,1.732611,45.098167,
COMMUNE__FRC000009753842,Commune simple,19287,2,19,75,241927201,VITRAC SUR MONTANE,267,COM,Vitrac-sur-Montane,1.93234,45.372881,
COMMUNE__FRC000009755128,Commune simple,19044,1,19,75,200066769,CHAPELLE AUX SAINTS,266,COM,La Chapelle-aux-Saints,1.719232,44.983487,
COMMUNE__FRC000009754520,Commune simple,19003,1,19,75,200066769,ALBIGNAC,254,COM,Albignac,1.677928,45.147282,
COMMUNE__FRC000009753399,Commune simple,19216,1,19,75,200066603,SAINT JULIEN LE VENDOMOIS,249,COM,Saint-Julien-le-Vendômois,1.320516,45.457791,
COMMUNE__FRC000009755340,Commune simple,19116,1,19,75,200066769,LIOURDRES,248,COM,Liourdres,1.808356,44.93753,
COMMUNE__FRC000009755345,Commune simple,19026,1,19,75,200066769,BILHAC,246,COM,Bilhac,1.777233,44.942167,
COMMUNE__FRC000009754924,Commune simple,19271,1,19,75,200066769,TUDEILS,245,COM,Tudeils,1.78422,45.049709,
COMMUNE__FRC000009755116,Commune simple,19133,2,19,75,200066751,MERCOEUR,245,COM,Mercœur,1.953044,45.01165,
COMMUNE__FRC000009753154,Commune simple,19144,1,19,75,200066603,MONTGIBAUD,239,COM,Montgibaud,1.421172,45.50925,
COMMUNE__FRC000009755117,Commune simple,19034,2,19,75,200066751,CAMPS SAINT MATHURIN LEOBAZEL,237,COM,Camps-Saint-Mathurin-Léobazel,1.99458,44.992424,
COMMUNE__FRC000009754314,Commune simple,19120,1,19,75,200043172,LOUIGNAC,236,COM,Louignac,1.270731,45.216792,
COMMUNE__FRC000009754921,Commune simple,19259,2,19,75,200066751,SEXCLES,234,COM,Sexcles,2.017333,45.047182,
COMMUNE__FRC000009754082,Commune simple,19039,3,19,75,241900133,CHAMPAGNAC LA NOAILLE,233,COM,Champagnac-la-Noaille,1.997915,45.306168,
COMMUNE__FRC000009752888,Commune simple,19053,3,19,75,200066744,CHAVEROCHE,233,COM,Chaveroche,2.252292,45.565038,
COMMUNE__FRC000009755341,Commune simple,19012,1,19,75,200066769,ASTAILLAC,232,COM,Astaillac,1.830417,44.951712,
COMMUNE__FRC000009754503,Commune simple,19014,2,19,75,200066751,AURIAC,229,COM,Auriac,2.139361,45.200122,
COMMUNE__FRC000009752883,Commune simple,19199,3,19,75,200066744,SAINT ETIENNE AUX CLOS,229,COM,Saint-Étienne-aux-Clos,2.449494,45.56626,
COMMUNE__FRC000009753152,Commune simple,19022,1,19,75,200066603,BENAYES,228,COM,Benayes,1.468321,45.52321,
COMMUNE__FRC000009752611,Commune simple,19238,3,19,75,200066744,SAINT REMY,227,COM,Saint-Rémy,2.27355,45.653835,
COMMUNE__FRC000009753614,Commune simple,19157,3,19,75,200066744,PALISSE,225,COM,Palisse,2.206873,45.434032,
COMMUNE__FRC000009754107,Commune simple,19253,1,19,75,200043172,SEGONZAC,222,COM,Segonzac,1.262758,45.276955,
COMMUNE__FRC000009754289,Commune simple,19235,2,19,75,241927201,SAINT PAUL,221,COM,Saint-Paul,1.898303,45.206676,
COMMUNE__FRC000009754932,Commune simple,19099,1,19,75,200066769,LAGLEYGEOLLE,220,COM,Lagleygeolle,1.695735,45.084291,
COMMUNE__FRC000009755121,Commune simple,19260,1,19,75,200066769,SIONIAC,220,COM,Sioniac,1.80034,44.977769,
COMMUNE__FRC000009753855,Commune simple,19109,1,19,75,200043172,LASCAUX,218,COM,Lascaux,1.371934,45.340707,
COMMUNE__FRC000009755127,Commune simple,19067,1,19,75,200066769,CUREMONTE,209,COM,Curemonte,1.754716,45.003485,
COMMUNE__FRC000009754927,Commune simple,19054,1,19,75,200066769,CHENAILLER MASCHEIX,208,COM,Chenailler-Mascheix,1.824855,45.060477,
COMMUNE__FRC000009753387,Commune simple,19071,3,19,75,200066744,DAVIGNAC,208,COM,Davignac,2.076228,45.491281,
COMMUNE__FRC000009754510,Commune simple,19186,2,19,75,200066751,SAINT BONNET ELVERT,207,COM,Saint-Bonnet-Elvert,1.915792,45.157879,
COMMUNE__FRC000009754933,Commune simple,19179,1,19,75,200066769,SAILLAC,205,COM,Saillac,1.641379,45.040007,
COMMUNE__FRC000009753137,Commune simple,19008,3,19,75,200066744,AMBRUGEAT,205,COM,Ambrugeat,2.085215,45.532657,
COMMUNE__FRC000009755344,Commune simple,19170,1,19,75,200066769,QUEYSSAC LES VIGNES,203,COM,Queyssac-les-Vignes,1.768014,44.964801,
COMMUNE__FRC000009754922,Commune simple,19045,2,19,75,200066751,CHAPELLE SAINT GERAUD,198,COM,La Chapelle-Saint-Géraud,1.948272,45.049117,
COMMUNE__FRC000009753392,Commune simple,19122,2,19,75,200066645,MADRANGES,193,COM,Madranges,1.79604,45.467233,
