cityCode,index,countryCode,countryName,urbanAgglomeration,latitude,longitude,radius,yearMotorway,yearHST,Index,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,pop2025,pop2030,nbOri,nbDes
20750,509,156,China,Yancheng Jiangsu,33.356867,120.155148,NA,NA,NA,509,46,60,78,102,134,175,229,300,392,513,671,867,1118,1436,1735,1931,2059,NA,NA
20753,512,156,China,Yangzhou,32.391492,119.423807,NA,NA,NA,512,170,187,206,226,247,270,294,382,557,823,1217,1396,1572,1765,1954,2132,2269,NA,NA
20755,515,156,China,Yantai,37.465087,121.437152,NA,NA,NA,515,92,135,200,263,216,234,241,299,422,717,1218,1488,1777,2114,2430,2670,2838,1,1
20757,517,156,China,Yichang,30.71444,111.28472,NA,NA,NA,517,59,78,104,138,183,244,324,407,492,583,692,845,1035,1264,1478,1634,1743,NA,NA
20761,520,156,China,Yinchuan,38.46806,106.27306,NA,NA,NA,520,59,90,110,134,163,199,242,302,384,468,571,800,1133,1596,2049,2309,2461,NA,NA
20763,522,156,China,Yingkou,40.66482,122.22833,NA,NA,NA,522,120,139,162,188,218,253,294,361,458,535,624,737,871,1026,1173,1292,1380,NA,NA
20766,524,156,China,Yiwu,29.31506,120.07676,NA,NA,NA,524,3,5,8,12,19,30,47,73,114,247,532,691,866,1080,1282,1423,1520,1,1
20783,540,156,China,Zaozhuang,34.86472,117.55417,NA,NA,NA,540,130,144,160,178,198,220,245,272,303,508,853,927,977,1028,1092,1183,1264,NA,NA
20789,547,156,China,Zhanjiang,21.266159,110.359639,NA,NA,NA,547,152,176,203,235,272,314,363,420,486,630,818,923,1031,1149,1266,1383,1476,1,1
20793,551,156,China,Zhengzhou,34.75778,113.64861,NA,NA,NA,551,196,248,315,400,508,645,819,982,1134,1663,2438,2993,3630,4387,5086,5579,5900,10,10
20794,552,156,China,Zhenjiang Jiangsu,32.202713,119.44894,NA,NA,NA,552,199,203,208,215,235,257,280,304,328,494,743,846,944,1050,1156,1263,1349,NA,NA
20797,559,156,China,Zhuhai,22.2769,113.5678,NA,NA,NA,559,3,5,7,11,17,25,39,84,220,470,1004,1192,1358,1542,1719,1880,2003,NA,NA
20800,562,156,China,Zhuzhou,27.83333,113.15,NA,NA,NA,562,116,135,158,184,215,250,292,351,430,593,819,909,993,1083,1177,1282,1369,NA,NA
20801,563,156,China,Zibo,36.79056,118.06333,NA,NA,NA,563,164,199,242,294,357,434,527,640,777,1207,1874,2078,2250,2430,2621,2839,3015,NA,NA
21137,567,344,China Hong Kong SAR,Hong Kong,22.279588,114.188697,NA,NA,NA,567,1682,2122,2621,3286,3472,3906,4623,5031,5766,6144,6835,6897,7050,7314,7550,7743,7885,46,46
23595,215,156,China,Cixi,30.176116,121.252392,NA,NA,NA,215,3,5,9,15,26,43,73,123,207,367,650,834,1044,1303,1546,1714,1829,NA,NA
23637,266,156,China,Haerbin,45.756325,126.646688,NA,NA,NA,266,727,1129,1423,1629,1696,1738,1992,2214,2392,3050,3888,4382,4896,5457,5999,6499,6860,3,3
23639,268,156,China,Haikou,20.027423,110.330071,NA,NA,NA,268,107,134,168,209,247,293,348,412,489,666,907,1166,1492,1903,2287,2540,2702,5,5
23697,393,156,China,Puning,23.296655,116.164678,NA,NA,NA,393,15,19,23,28,34,42,51,62,76,214,603,744,866,1005,1137,1250,1336,NA,NA
23706,409,156,China,Rizhao,35.40336,119.511996,NA,NA,NA,409,7,11,17,26,41,64,101,158,248,390,613,746,891,1062,1223,1349,1441,NA,NA
23773,553,156,China,Zhongshan,22.517992,113.383938,NA,NA,NA,553,55,71,90,115,147,188,241,308,393,736,1376,1940,2682,3691,4658,5210,5518,NA,NA
23816,454,156,China,Taizhou  Zhejiang,28.637219,121.418459,NA,NA,NA,454,44,55,69,86,108,135,170,213,267,514,992,1202,1410,1648,1873,2055,2189,NA,NA
205932,485,156,China,Xiangyang,32.008764,112.144038,NA,NA,NA,485,57,87,134,141,179,227,287,390,554,816,1202,1323,1426,1533,1650,1791,1907,NA,NA
