yearBegin,yearEnd,idOri,nameOri,idDes,nameDes,transportMode,length,notes
2010,2014,22691,Istanbul,21773,Bayrut (Beirut),1,,air
2010,2014,22432,Ar-Riyadh (Riyadh),21773,Bayrut (Beirut),1,,air
2010,2014,22432,Ar-Riyadh (Riyadh),22179,Ad-Dawhah (Doha),1,,air
2010,2014,22447,Singapore,21474,Surabaya,1,,air
2010,2014,21474,Surabaya,22447,Singapore,1,,air
2010,2014,204118,Samut Prakan,20414,Colombo,1,,air
2010,2014,20414,Colombo,204118,Samut Prakan,1,,air
2010,2014,20414,Colombo,22635,Dubayy (Dubai),1,,air
2010,2014,20414,Colombo,21321,Chennai (Madras),1,,air
2010,2014,22635,Dubayy (Dubai),20414,Colombo,1,,air
2010,2014,206411,Kuala Lumpur,20414,Colombo,1,,air
2010,2014,21321,Chennai (Madras),20414,Colombo,1,,air
2010,2014,204118,Samut Prakan,20656,Shanghai,1,,air
2010,2014,20484,Chongqing,20656,Shanghai,1,,air
2010,2014,21137,Hong Kong,20656,Shanghai,1,,air
2010,2014,20625,Nanjing Jiangsu,20464,Beijing,1,,air
2010,2014,21671,Tokyo,20656,Shanghai,1,,air
2010,2014,20464,Beijing,20625,Nanjing Jiangsu,1,,air
2010,2014,20464,Beijing,20656,Shanghai,1,,air
2010,2014,20464,Beijing,20727,Xianyang Shaanxi,1,,air
2010,2014,20656,Shanghai,204118,Samut Prakan,1,,air
2010,2014,20656,Shanghai,20484,Chongqing,1,,air
2010,2014,20656,Shanghai,21137,Hong Kong,1,,air
2010,2014,20656,Shanghai,21671,Tokyo,1,,air
2010,2014,20656,Shanghai,20464,Beijing,1,,air
2010,2014,20656,Shanghai,22447,Singapore,1,,air
2010,2014,20656,Shanghai,22299,Moskva (Moscow),1,,air
2010,2014,20656,Shanghai,20641,Qingdao,1,,air
2010,2014,20656,Shanghai,20667,Shenzhen,1,,air
2010,2014,22447,Singapore,20656,Shanghai,1,,air
2010,2014,22299,Moskva (Moscow),20656,Shanghai,1,,air
2010,2014,20667,Shenzhen,20656,Shanghai,1,,air
2010,2014,20727,Xianyang Shaanxi,20464,Beijing,1,,air
2010,2014,204118,Samut Prakan,21671,Tokyo,1,,air
2010,2014,204332,Frankfurt am Main,21671,Tokyo,1,,air
2010,2014,204586,Kitakyushu-Fukuoka M.M.A.,21758,Seoul,1,,air
2010,2014,204585,Hiroshima,21671,Tokyo,1,,air
2010,2014,21671,Tokyo,204118,Samut Prakan,1,,air
2010,2014,21671,Tokyo,204332,Frankfurt am Main,1,,air
2010,2014,21671,Tokyo,204585,Hiroshima,1,,air
2010,2014,21671,Tokyo,21633,Kumamoto,1,,air
2010,2014,21671,Tokyo,21627,Kanazawa,1,,air
2010,2014,21671,Tokyo,21626,Kagoshima,1,,air
2010,2014,21671,Tokyo,21640,Matsuyama,1,,air
2010,2014,21671,Tokyo,21656,Okayama,1,,air
2010,2014,21758,Seoul,204586,Kitakyushu-Fukuoka M.M.A.,1,,air
2010,2014,21758,Seoul,206459,Kinki M.M.A. (Osaka),1,,air
2010,2014,206459,Kinki M.M.A. (Osaka),21758,Seoul,1,,air
2010,2014,21633,Kumamoto,21671,Tokyo,1,,air
2010,2014,21627,Kanazawa,21671,Tokyo,1,,air
2010,2014,21626,Kagoshima,21671,Tokyo,1,,air
2010,2014,21640,Matsuyama,21671,Tokyo,1,,air
2010,2014,21671,Tokyo,20656,Shanghai,1,,air
2010,2014,20656,Shanghai,21671,Tokyo,1,,air
2010,2014,21656,Okayama,21671,Tokyo,1,,air
2010,2014,21957,Auckland,206167,Sydney,1,,air
2010,2014,206167,Sydney,21957,Auckland,1,,air
2010,2014,21735,Jeju,21758,Seoul,1,,air
2010,2014,204586,Kitakyushu-Fukuoka M.M.A.,21758,Seoul,1,,air
2010,2014,21758,Seoul,21735,Jeju,1,,air
2010,2014,21137,Hong Kong,21758,Seoul,1,,air
2010,2014,21758,Seoul,204586,Kitakyushu-Fukuoka M.M.A.,1,,air
2010,2014,21758,Seoul,21137,Hong Kong,1,,air
2010,2014,21758,Seoul,206459,Kinki M.M.A. (Osaka),1,,air
2010,2014,21758,Seoul,21671,Tokyo,1,,air
2010,2014,21758,Seoul,20656,Shanghai,1,,air
2010,2014,21758,Seoul,22458,Thành Pho Ho Chí Minh (Ho Chi Minh City),1,,air
2010,2014,21758,Seoul,20684,Taipei,1,,air
2010,2014,206459,Kinki M.M.A. (Osaka),21758,Seoul,1,,air
2010,2014,21671,Tokyo,21758,Seoul,1,,air
2010,2014,20656,Shanghai,21758,Seoul,1,,air
2010,2014,22458,Thành Pho Ho Chí Minh (Ho Chi Minh City),21758,Seoul,1,,air
2010,2014,20684,Taipei,21758,Seoul,1,,air
2010,2014,22635,Dubayy (Dubai),21922,Masqat (Muscat),1,,air
2010,2014,21922,Masqat (Muscat),22635,Dubayy (Dubai),1,,air
2010,2014,21700,Amman,22179,Ad-Dawhah (Doha),1,,air
2010,2014,21113,Athínai (Athens),22179,Ad-Dawhah (Doha),1,,air
2010,2014,20109,Al-Manamah (Manama),22179,Ad-Dawhah (Doha),1,,air
2010,2014,22812,Al-Qahirah (Cairo),22179,Ad-Dawhah (Doha),1,,air
2010,2014,21454,Jakarta,22179,Ad-Dawhah (Doha),1,,air
2010,2014,20414,Colombo,22179,Ad-Dawhah (Doha),1,,air
2010,2014,20119,Dhaka,22179,Ad-Dawhah (Doha),1,,air
2010,2014,22416,Ad-Dammam,22179,Ad-Dawhah (Doha),1,,air
2010,2014,22179,Ad-Dawhah (Doha),21700,Amman,1,,air
2010,2014,22179,Ad-Dawhah (Doha),21113,Athínai (Athens),1,,air
2010,2014,22179,Ad-Dawhah (Doha),20109,Al-Manamah (Manama),1,,air
2010,2014,22179,Ad-Dawhah (Doha),22812,Al-Qahirah (Cairo),1,,air
2010,2014,22179,Ad-Dawhah (Doha),21454,Jakarta,1,,air
2010,2014,22179,Ad-Dawhah (Doha),20414,Colombo,1,,air
2010,2014,22179,Ad-Dawhah (Doha),20119,Dhaka,1,,air
2010,2014,22179,Ad-Dawhah (Doha),22416,Ad-Dammam,1,,air
2010,2014,22179,Ad-Dawhah (Doha),22635,Dubayy (Dubai),1,,air
2010,2014,22179,Ad-Dawhah (Doha),204332,Frankfurt am Main,1,,air
2010,2014,22179,Ad-Dawhah (Doha),22042,Islamabad,1,,air
2010,2014,22179,Ad-Dawhah (Doha),22421,Jiddah,1,,air
2010,2014,22179,Ad-Dawhah (Doha),206411,Kuala Lumpur,1,,air
2010,2014,22179,Ad-Dawhah (Doha),21769,Al Kuwayt (Kuwait City),1,,air
2010,2014,22179,Ad-Dawhah (Doha),22046,Lahore,1,,air
2010,2014,22179,Ad-Dawhah (Doha),22860,London,1,,air
2010,2014,22179,Ad-Dawhah (Doha),205160,Busto Arsizio,1,,air
2010,2014,22179,Ad-Dawhah (Doha),22432,Ar-Riyadh (Riyadh),1,,air
2010,2014,22635,Dubayy (Dubai),22179,Ad-Dawhah (Doha),1,,air
2010,2014,204332,Frankfurt am Main,22179,Ad-Dawhah (Doha),1,,air
2010,2014,22042,Islamabad,22179,Ad-Dawhah (Doha),1,,air
2010,2014,22421,Jiddah,22179,Ad-Dawhah (Doha),1,,air
