eYearBegin,eYearEnd,cityCodeOri,nameOri,cityCodeDes,nameDes,transportModeCode,length,notes
1940,,22922,Atlanta,22954,Charlotte,1,364,air
1940,,22922,Atlanta,22954,Charlotte,1,364,air
1940,,22922,Atlanta,22954,Charlotte,1,364,air
1940,,22922,Atlanta,22954,Charlotte,1,364,air
1940,,22954,Charlotte,22922,Atlanta,1,364,air
1940,,22922,Atlanta,22954,Charlotte,1,364,air
1940,,21930,Amsterdam,204341,Hamburg,1,366,air
1940,,204341,Hamburg,21930,Amsterdam,1,366,air
1940,,204341,Hamburg,21930,Amsterdam,1,366,air
1940,,20656,Shanghai,20710,Wenzhou,1,366,air
1940,,20710,Wenzhou,20656,Shanghai,1,366,air
1940,,23043,Las Vegas,23052,Los Angeles-Long Beach-Santa Ana,1,369,air
1940,,23052,Los Angeles-Long Beach-Santa Ana,23043,Las Vegas,1,369,air
1940,,23043,Las Vegas,23052,Los Angeles-Long Beach-Santa Ana,1,369,air
1940,,23052,Los Angeles-Long Beach-Santa Ana,23043,Las Vegas,1,369,air
1940,,204437,Dresden,204332,Frankfurt am Main,1,372,air
1940,,204332,Frankfurt am Main,204437,Dresden,1,372,air
1940,,21552,Bari,21588,Roma (Rome),1,374,air
1940,,21588,Roma (Rome),21552,Bari,1,374,air
1940,,23058,Madison,23068,Minneapolis-St. Paul,1,375,air
1940,,204299,Bonn,204439,Leipzig,1,375,air
1940,,204439,Leipzig,204299,Bonn,1,375,air
1940,,22744,Kampala,22404,Kigali,1,377,air
1940,,22404,Kigali,22744,Kampala,1,377,air
1940,,20327,Sofia,20330,Varna,1,378,air
1940,,20330,Varna,20327,Sofia,1,378,air
1940,,22966,Dallas-Fort Worth,23014,Houston,1,378,air
1940,,21558,Catania,21574,Napoli (Naples),1,379,air
1940,,21574,Napoli (Naples),21558,Catania,1,379,air
1940,,22635,Dubayy (Dubai),21922,Masqat (Muscat),1,380,air
1940,,21922,Masqat (Muscat),22635,Dubayy (Dubai),1,380,air
1940,,22635,Dubayy (Dubai),21922,Masqat (Muscat),1,380,air
1940,,21922,Masqat (Muscat),22635,Dubayy (Dubai),1,380,air
1940,,22635,Dubayy (Dubai),21922,Masqat (Muscat),1,380,air
1940,,21922,Masqat (Muscat),22635,Dubayy (Dubai),1,380,air
1940,,22179,Ad-Dawhah (Doha),22635,Dubayy (Dubai),1,381,air
1940,,22635,Dubayy (Dubai),22179,Ad-Dawhah (Doha),1,381,air
1940,,22179,Ad-Dawhah (Doha),22635,Dubayy (Dubai),1,381,air
1940,,22635,Dubayy (Dubai),22179,Ad-Dawhah (Doha),1,381,air
1940,,22179,Ad-Dawhah (Doha),22635,Dubayy (Dubai),1,381,air
1940,,22635,Dubayy (Dubai),22179,Ad-Dawhah (Doha),1,381,air
1940,,22974,Detroit,23017,Indianapolis,1,385,air
1940,,23017,Indianapolis,22974,Detroit,1,385,air
1940,,22179,Ad-Dawhah (Doha),22637,Sharjah,1,390,air
1940,,22637,Sharjah,22179,Ad-Dawhah (Doha),1,390,air
1940,,22753,Dnipropetrovsk,22765,Kyiv (Kiev),1,392,air
1940,,22765,Kyiv (Kiev),22753,Dnipropetrovsk,1,392,air
1940,,22416,Ad-Dammam,22432,Ar-Riyadh (Riyadh),1,392,air
1940,,22432,Ar-Riyadh (Riyadh),22416,Ad-Dammam,1,392,air
1940,,204332,Frankfurt am Main,204341,Hamburg,1,392,air
1940,,204341,Hamburg,204332,Frankfurt am Main,1,392,air
1940,,21671,Tokyo,206459,Kinki M.M.A. (Osaka),1,393,air
1940,,21671,Tokyo,206459,Kinki M.M.A. (Osaka),1,393,air
1940,,206459,Kinki M.M.A. (Osaka),21671,Tokyo,1,393,air
1940,,206459,Kinki M.M.A. (Osaka),21671,Tokyo,1,393,air
1940,,20985,Paris,20972,Lyon,1,393,air
1940,,20972,Lyon,20985,Paris,1,393,air
1940,,21588,Roma (Rome),21599,Venezia,1,394,air
1940,,21599,Venezia,21588,Roma (Rome),1,394,air
1940,,20937,Helsinki,22597,Stockholm,1,396,air
1940,,22597,Stockholm,20937,Helsinki,1,396,air
1940,,20937,Helsinki,22597,Stockholm,1,396,air
1940,,23014,Houston,23046,Denton-Lewisville,1,397,air
1940,,23046,Denton-Lewisville,23014,Houston,1,397,air
1940,,23014,Houston,23046,Denton-Lewisville,1,397,air
1940,,22590,Göteborg,22597,Stockholm,1,398,air
1940,,22597,Stockholm,22590,Göteborg,1,398,air
1940,,22590,Göteborg,22597,Stockholm,1,398,air
1940,,22860,London,22887,Newcastle upon Tyne,1,398,air
1940,,22887,Newcastle upon Tyne,22860,London,1,398,air
1940,,22860,London,22887,Newcastle upon Tyne,1,398,air
1940,,22887,Newcastle upon Tyne,22860,London,1,398,air
1940,,21888,Agadir,21891,Dar-el-Beida (Casablanca),1,398,air
1940,,21891,Dar-el-Beida (Casablanca),21888,Agadir,1,398,air
1940,,22974,Detroit,23067,Milwaukee,1,399,air
1940,,23067,Milwaukee,22974,Detroit,1,399,air
1940,,21164,Amritsar,21228,Delhi,1,399,air
1940,,21228,Delhi,21164,Amritsar,1,399,air
1940,,21164,Amritsar,21228,Delhi,1,399,air
1940,,21228,Delhi,21164,Amritsar,1,399,air
1940,,22966,Dallas-Fort Worth,23167,Tulsa,1,399,air
1940,,23167,Tulsa,22966,Dallas-Fort Worth,1,399,air
1940,,22966,Dallas-Fort Worth,23167,Tulsa,1,399,air
1940,,23167,Tulsa,22966,Dallas-Fort Worth,1,399,air
1940,,22513,Harare,23277,Lusaka,1,400,air
1940,,21588,Roma (Rome),21565,Genova (Genoa),1,401,air
1940,,21565,Genova (Genoa),21588,Roma (Rome),1,401,air
1940,,20837,Bogotá,20816,Cúcuta,1,404,air
1940,,20816,Cúcuta,20837,Bogotá,1,404,air
1940,,204332,Frankfurt am Main,20887,Praha (Prague),1,409,air
1940,,20887,Praha (Prague),204332,Frankfurt am Main,1,409,air
1940,,22191,Bucuresti (Bucharest),22214,Timisoara,1,410,air
1940,,22214,Timisoara,22191,Bucuresti (Bucharest),1,410,air
